bank,year,ori_item,pass1_code,pass2_final_code,agreement_with_pass1,coding_method,pdf_page,matched_rule,evidence_excerpt,adjudication_status,source_file,third_pass_final_code,third_pass_pdf_page,third_pass_evidence_excerpt,third_pass_adjudication
Absa Bank Ghana PLC,2021,ORI3,1.0,1.0,True,independent_visual_review,34.0,country business resumption plans,"The liquidity risk note states that the contingency funding plan is aligned with country business resumption plans, including decision-making authorities, communications and restoration of liquidity management and payment systems after a systems failure.",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2021 - Annual Report.pdf,1.0,34.0,"The liquidity risk note states that the contingency funding plan is aligned with country business resumption plans, including decision-making authorities, communications and restoration of liquidity management and payment systems after a systems failure.",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2021,ORI4,1.0,1.0,True,independent_visual_review,7.0,cyber security,"y 2021 and thus not eligible to attend the first two meetings in the year. Board Committees The Board has delegated specific aspects of its mandate to its four sub-committees, namely: • The Board Audit Committee; • The Board Risk Committee; • The Board Remuneration Committee; and • The Board Information Technology and Cyber Security Committee The Sub-Committees derive their authority from the Board with their respective mandates indicated in their Terms of Reference (ToR) which are reviewed annually. These Sub-Committees submit reports to the Board on a regular basis. To also ensure the promotion of checks and balances in the governance structure of the Bank, the Board Chairperson does not serve as a chairperson of any of the Board’s sub-committees. 7",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2021 - Annual Report.pdf,1.0,7.0,"y 2021 and thus not eligible to attend the first two meetings in the year. Board Committees The Board has delegated specific aspects of its mandate to its four sub-committees, namely: • The Board Audit Committee; • The Board Risk Committee; • The Board Remuneration Committee; and • The Board Information Technology and Cyber Security Committee The Sub-Committees derive their authority from the Board with their respective mandates indicated in their Terms of Reference (ToR) which are reviewed annually. These Sub-Committees submit reports to the Board on a regular basis. To also ensure the promotion of checks and balances in the governance structure of the Bank, the Board Chairperson does not serve as a chairperson of any of the Board’s sub-committees. 7",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2021,ORI5,1.0,1.0,True,independent_visual_review,8.0,control environment,"Directors of the Bank appointed by the Board. The members of the Committee are required to have a robust understanding of the nature of the business, an appropriate balance of skills and experience and in aggregate have sufficient accounting, audit and financial skills as well as techniques for assessing the risk and control environment. The Chairperson of the Committee is an Independent Director appointed by the Board. Should he/she be unable to attend any meeting, another Independent Director (i.e. Committee Members) chairs the meeting. The Chairperson of the Board is not the Chairperson nor a member of the Audit Committee. The following are also mandatory invitees to the Committee’s meetings: • Managing Director • Finance Director • Chief Internal Auditor • Chief Operating Officer • Chief Risk Officer • Head of Compliance • External Auditors T",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2021 - Annual Report.pdf,1.0,8.0,"Directors of the Bank appointed by the Board. The members of the Committee are required to have a robust understanding of the nature of the business, an appropriate balance of skills and experience and in aggregate have sufficient accounting, audit and financial skills as well as techniques for assessing the risk and control environment. The Chairperson of the Committee is an Independent Director appointed by the Board. Should he/she be unable to attend any meeting, another Independent Director (i.e. Committee Members) chairs the meeting. The Chairperson of the Board is not the Chairperson nor a member of the Audit Committee. The following are also mandatory invitees to the Committee’s meetings: • Managing Director • Finance Director • Chief Internal Auditor • Chief Operating Officer • Chief Risk Officer • Head of Compliance • External Auditors T",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2021,ORI6,1.0,1.0,True,independent_visual_review,8.0,chief internal auditor,"ould he/she be unable to attend any meeting, another Independent Director (i.e. Committee Members) chairs the meeting. The Chairperson of the Board is not the Chairperson nor a member of the Audit Committee. The following are also mandatory invitees to the Committee’s meetings: • Managing Director • Finance Director • Chief Internal Auditor • Chief Operating Officer • Chief Risk Officer • Head of Compliance • External Auditors The attendance register for Audit Committee meetings in 2021 is as presented below: 2021 Audit Committee Meeting Attendance Record Members Feb-21 Jul-21 Oct-21 Nov-21 Mr. Kofi Sadick Yamoah Chairperson (ID) Y Y Y Y Mr. Philip Odotei Sowah Member (ID) Y Y Y Y Mr. Charles Ayesu Darku Member (ID) Y Y Y Y Y – Present N – Not present ID – Independent Director Annually the Audit Committee assesses its activities to determine whether",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2021 - Annual Report.pdf,1.0,8.0,"ould he/she be unable to attend any meeting, another Independent Director (i.e. Committee Members) chairs the meeting. The Chairperson of the Board is not the Chairperson nor a member of the Audit Committee. The following are also mandatory invitees to the Committee’s meetings: • Managing Director • Finance Director • Chief Internal Auditor • Chief Operating Officer • Chief Risk Officer • Head of Compliance • External Auditors The attendance register for Audit Committee meetings in 2021 is as presented below: 2021 Audit Committee Meeting Attendance Record Members Feb-21 Jul-21 Oct-21 Nov-21 Mr. Kofi Sadick Yamoah Chairperson (ID) Y Y Y Y Mr. Philip Odotei Sowah Member (ID) Y Y Y Y Mr. Charles Ayesu Darku Member (ID) Y Y Y Y Y – Present N – Not present ID – Independent Director Annually the Audit Committee assesses its activities to determine whether",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2021,ORI7,1.0,1.0,True,independent_visual_review,8.0,compliance (?:function|department|monitoring|framework|reports?),"r ended 31 December 2021 CORPORATE GOVERNANCE STATEMENT (CONTINUED) Board Audit Committee The Board Audit Committee meets at least four times a year with the Bank’s senior management, the internal audit team and the external auditors to review among other things, the Bank’s financial matters, annual internal audit and compliance reports as well as the effectiveness of the Bank’s systems of internal control. Membership comprises of not less than three and no more than five Independent Directors of the Bank appointed by the Board. The members of the Committee are required to have a robust understanding of the nature of the business, an appropriate balance of skills and experience and in aggregate have sufficient accounting, audit and financial skills as well as techniques for assessing the risk and control environment. The Chairperson of the Commit",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2021 - Annual Report.pdf,1.0,8.0,"r ended 31 December 2021 CORPORATE GOVERNANCE STATEMENT (CONTINUED) Board Audit Committee The Board Audit Committee meets at least four times a year with the Bank’s senior management, the internal audit team and the external auditors to review among other things, the Bank’s financial matters, annual internal audit and compliance reports as well as the effectiveness of the Bank’s systems of internal control. Membership comprises of not less than three and no more than five Independent Directors of the Bank appointed by the Board. The members of the Committee are required to have a robust understanding of the nature of the business, an appropriate balance of skills and experience and in aggregate have sufficient accounting, audit and financial skills as well as techniques for assessing the risk and control environment. The Chairperson of the Commit",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2021,ORI8,1.0,1.0,True,independent_visual_review,9.0,disaster recovery; respond to incidents,"The Board Information Technology and Cyber Security Committee disclosure states that management has systems, policies, controls and procedures to identify, manage and mitigate cybersecurity, privacy and disaster-recovery risks, respond to incidents and protect critical infrastructure assets.",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2021 - Annual Report.pdf,1.0,9.0,"The Board Information Technology and Cyber Security Committee disclosure states that management has systems, policies, controls and procedures to identify, manage and mitigate cybersecurity, privacy and disaster-recovery risks, respond to incidents and protect critical infrastructure assets.",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2022,ORI1,1.0,1.0,True,independent_visual_review,94.0,manage(?:ment|s|d|ing)? (?:of )?operational risk,"ure, and from external factors other than credit, market and liquidity risks such as those arising from legal and regulatory requirements and generally accepted standards of corporate behaviour. Operational risks arise from all of the Bank’s operations and are faced by all business entities. The Bank’s objective is to manage operational risk so as to balance the avoidance of financial losses and damage to the Bank’s reputation with overall cost effectiveness and to avoid control procedures that restrict initiative and creativity. The primary responsibility for the development and implementation of controls to address operational risk is assigned to senior management within each business unit. This responsibility is supported by the development of overall Bank standards for the management of operational risk in the following areas: • requirements for a",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2022 - Annual Report.pdf,1.0,94.0,"ure, and from external factors other than credit, market and liquidity risks such as those arising from legal and regulatory requirements and generally accepted standards of corporate behaviour. Operational risks arise from all of the Bank’s operations and are faced by all business entities. The Bank’s objective is to manage operational risk so as to balance the avoidance of financial losses and damage to the Bank’s reputation with overall cost effectiveness and to avoid control procedures that restrict initiative and creativity. The primary responsibility for the development and implementation of controls to address operational risk is assigned to senior management within each business unit. This responsibility is supported by the development of overall Bank standards for the management of operational risk in the following areas: • requirements for a",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2022,ORI2,1.0,1.0,True,independent_visual_review,7.0,"board.{0,180}(?:oversight|oversees|responsib).{0,160}(?:operational|enterprise|cyber|information|technology)?\s*risk","Best Practice in June 1998. The Bank of Ghana (BoG) also issued the Corporate Governance Directive (CGD) in December 2018 and the Corporate Governance Disclosure Directive (CGDD) in May 2022. The Bank’s Board is committed to business integrity and professionalism in all its activities. As part of this commitment, the Board supports the highest standards of corporate governance and the development of best practice. The Bank’s corporate governance guidelines address the responsibilities of the Board and how they are met particularly the implementation of strategic objectives, risk strategy, corporate governance, implementation of core values, the composition for the Board and selection procedures for new Directors as well as relationships with stakeholders amongst others. Authorised business BoG has licensed the Bank to undertake the business of universal banking, and other businesses inci",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2022 - Annual Report.pdf,1.0,7.0,"Best Practice in June 1998. The Bank of Ghana (BoG) also issued the Corporate Governance Directive (CGD) in December 2018 and the Corporate Governance Disclosure Directive (CGDD) in May 2022. The Bank’s Board is committed to business integrity and professionalism in all its activities. As part of this commitment, the Board supports the highest standards of corporate governance and the development of best practice. The Bank’s corporate governance guidelines address the responsibilities of the Board and how they are met particularly the implementation of strategic objectives, risk strategy, corporate governance, implementation of core values, the composition for the Board and selection procedures for new Directors as well as relationships with stakeholders amongst others. Authorised business BoG has licensed the Bank to undertake the business of universal banking, and other businesses inci",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2022,ORI3,1.0,1.0,True,independent_visual_review,39.0,country business resumption plans,"The liquidity risk note states that the contingency funding plan is aligned with country business resumption plans, including decision-making authorities, communications and restoration of liquidity management and payment systems after a systems failure.",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2022 - Annual Report.pdf,1.0,39.0,"The liquidity risk note states that the contingency funding plan is aligned with country business resumption plans, including decision-making authorities, communications and restoration of liquidity management and payment systems after a systems failure.",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2022,ORI4,1.0,1.0,True,independent_visual_review,8.0,cyber security,"– Present N – Not present * - Mrs. Abena Osei-Poku was absent with apologies. Board Committees The Board has delegated specific aspects of its mandate to its four sub-committees, namely: • The Board Audit Committee; • The Board Risk Committee; • The Board Remuneration Committee; and • The Board Information Technology, Cyber Security and Payment Systems Committee The Sub-Committees derive their authority from the Board with their respective mandates indicated in their Terms of Reference (ToR) which are reviewed annually. These Sub-Committees submit reports to the Board on a regular basis. To also ensure the promotion of checks and balances in the governance structure of the Bank, the Board Chairperson does not serve as a chairperson of any of the Board’s sub-committees. 8 Internal",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2022 - Annual Report.pdf,1.0,8.0,"– Present N – Not present * - Mrs. Abena Osei-Poku was absent with apologies. Board Committees The Board has delegated specific aspects of its mandate to its four sub-committees, namely: • The Board Audit Committee; • The Board Risk Committee; • The Board Remuneration Committee; and • The Board Information Technology, Cyber Security and Payment Systems Committee The Sub-Committees derive their authority from the Board with their respective mandates indicated in their Terms of Reference (ToR) which are reviewed annually. These Sub-Committees submit reports to the Board on a regular basis. To also ensure the promotion of checks and balances in the governance structure of the Bank, the Board Chairperson does not serve as a chairperson of any of the Board’s sub-committees. 8 Internal",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2022,ORI5,1.0,1.0,True,independent_visual_review,9.0,internal control systems?,"REPORT (CONTINUED) Board Audit Committee The Board Audit Committee meets at least four times a year with the Bank’s Senior Management, the Internal Audit team, and the external auditors to review among other things, the Bank’s financial matters, Audit, and Compliance reports as well as the effectiveness of the Bank’s internal control systems. Membership is not less than three and not more than five Independent Directors of the Bank appointed by the Board. The members of the Committee are required to have a robust understanding of the nature of the business, an appropriate balance of skills and experience and in aggregate have sufficient accounting, audit, and financial skills as well as techniques for assessing the risk and control environment. The following are also mandatory invitees to the Committee’s meetings: • Managing Director • Finance Directo",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2022 - Annual Report.pdf,1.0,9.0,"REPORT (CONTINUED) Board Audit Committee The Board Audit Committee meets at least four times a year with the Bank’s Senior Management, the Internal Audit team, and the external auditors to review among other things, the Bank’s financial matters, Audit, and Compliance reports as well as the effectiveness of the Bank’s internal control systems. Membership is not less than three and not more than five Independent Directors of the Bank appointed by the Board. The members of the Committee are required to have a robust understanding of the nature of the business, an appropriate balance of skills and experience and in aggregate have sufficient accounting, audit, and financial skills as well as techniques for assessing the risk and control environment. The following are also mandatory invitees to the Committee’s meetings: • Managing Director • Finance Directo",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2022,ORI6,1.0,1.0,True,independent_visual_review,9.0,chief internal auditor,"of the business, an appropriate balance of skills and experience and in aggregate have sufficient accounting, audit, and financial skills as well as techniques for assessing the risk and control environment. The following are also mandatory invitees to the Committee’s meetings: • Managing Director • Finance Director • Chief Internal Auditor • Chief Operating Officer • Chief Risk Officer • Chief Compliance Officer • External Auditors The attendance register for Audit Committee meetings in 2022 is as presented below: 2022 Audit Committee Meeting Attendance Record Members Feb-22 Jul-22 Oct-22 Nov-22 Mr. Kofi Sadick Yamoah Chairperson (ID) Y Y Y Y Mr. Philip Odotei Sowah Member (ID) Y Y Y Y Mr. Charles Ayesu Darku Member (ID) Y Y Y Y Y – Present ID – Independent Director In 2022, the annual assessment was conducted to determine whether the Committee had",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2022 - Annual Report.pdf,1.0,9.0,"of the business, an appropriate balance of skills and experience and in aggregate have sufficient accounting, audit, and financial skills as well as techniques for assessing the risk and control environment. The following are also mandatory invitees to the Committee’s meetings: • Managing Director • Finance Director • Chief Internal Auditor • Chief Operating Officer • Chief Risk Officer • Chief Compliance Officer • External Auditors The attendance register for Audit Committee meetings in 2022 is as presented below: 2022 Audit Committee Meeting Attendance Record Members Feb-22 Jul-22 Oct-22 Nov-22 Mr. Kofi Sadick Yamoah Chairperson (ID) Y Y Y Y Mr. Philip Odotei Sowah Member (ID) Y Y Y Y Mr. Charles Ayesu Darku Member (ID) Y Y Y Y Y – Present ID – Independent Director In 2022, the annual assessment was conducted to determine whether the Committee had",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2022,ORI7,1.0,1.0,True,independent_visual_review,9.0,compliance (?:function|department|monitoring|framework|reports?),"ments For the year ended 31 December 2022 CORPORATE GOVERNANCE REPORT (CONTINUED) Board Audit Committee The Board Audit Committee meets at least four times a year with the Bank’s Senior Management, the Internal Audit team, and the external auditors to review among other things, the Bank’s financial matters, Audit, and Compliance reports as well as the effectiveness of the Bank’s internal control systems. Membership is not less than three and not more than five Independent Directors of the Bank appointed by the Board. The members of the Committee are required to have a robust understanding of the nature of the business, an appropriate balance of skills and experience and in aggregate have sufficient accounting, audit, and financial skills as well as techniques for assessing the risk and control environment. The following are also mandatory invitee",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2022 - Annual Report.pdf,1.0,9.0,"ments For the year ended 31 December 2022 CORPORATE GOVERNANCE REPORT (CONTINUED) Board Audit Committee The Board Audit Committee meets at least four times a year with the Bank’s Senior Management, the Internal Audit team, and the external auditors to review among other things, the Bank’s financial matters, Audit, and Compliance reports as well as the effectiveness of the Bank’s internal control systems. Membership is not less than three and not more than five Independent Directors of the Bank appointed by the Board. The members of the Committee are required to have a robust understanding of the nature of the business, an appropriate balance of skills and experience and in aggregate have sufficient accounting, audit, and financial skills as well as techniques for assessing the risk and control environment. The following are also mandatory invitee",Retained after independent report-level cross-check.
Absa Bank Ghana PLC,2022,ORI8,1.0,1.0,True,independent_visual_review,10.0,"disaster recovery, respond to incidents","The Board Information Technology, Cyber Security and Payment Systems Committee disclosure states that management has measures to identify, manage and mitigate cybersecurity, data-privacy and disaster-recovery risks, respond to incidents and protect critical infrastructure assets.",manual page-image coding retained from verified resolution evidence,Absa Bank Ghana PLC - 2022 - Annual Report.pdf,1.0,10.0,"The Board Information Technology, Cyber Security and Payment Systems Committee disclosure states that management has measures to identify, manage and mitigate cybersecurity, data-privacy and disaster-recovery risks, respond to incidents and protect critical infrastructure assets.",Retained after independent report-level cross-check.
