bank,year,financials_status,board_status,ori_status,overall_status,manual_review_date,corrections,notes
Access Bank (Ghana) PLC,2024,verified,verified,corrected,corrected_and_verified,2026-08-30,ORI3 corrected from 0 to 1; ORI score corrected from 87.5 to 100.0,"Financial values are visually verified from the 2024 statement pages in GHS thousands and normalized to absolute GHS: profit after tax 536,912,000; total assets 16,561,742,000; total liabilities 14,804,021,000; cash and cash equivalents 3,944,691,000. Board composition is visually verified at 10 directors and 5 independent non-executive directors. ORI3 is supported by the Board Risk Management and Payment Systems Committee disclosure covering Business Continuity and Contingency Planning and oversight of business continuity and contingency planning. ORI8 is supported by the Board Cyber Security and Information Technology Committee disclosure covering reported incidents, global cyber incidents, preparedness to sustain incidents and mitigation measures. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
Access Bank (Ghana) PLC,2025,verified,verified,corrected,corrected_and_verified,2026-08-30,ORI8 corrected from 0 to 1; ORI score corrected from 87.5 to 100.0,"Financial values are verified from the 2025 statement pages in GHS thousands and normalized to absolute GHS: profit after tax 286,469,000; total assets 19,022,897,000; total liabilities 16,978,465,000; cash and cash equivalents 4,137,039,000. Board composition is verified at 9 directors and 6 independent non-executive directors: six independent non-executive directors, one non-executive director, one executive director and the Managing Director. ORI3 is supported by the Board Risk Management and Payment Systems Committee disclosure covering Business Continuity and Contingency Planning and oversight of business continuity and contingency planning. ORI8 is supported by the Board Cyber Security and Information Technology Committee disclosure covering reported incidents, global cyber incidents, preparedness to sustain incidents and mitigation measures. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
Agricultural Development Bank (ADB) PLC,2020,verified,verified,corrected,corrected_and_verified,2026-08-30,ORI8 corrected from 0 to 1; ORI score corrected from 87.5 to 100.0,"Financial values are verified from the 2020 statement pages in GHS thousands and normalized to absolute GHS: profit after tax 65,403,000; total assets 5,715,794,000; total liabilities 4,865,171,000; cash and cash equivalents 1,392,493,000. Board composition is verified at 8 directors and 3 independent directors: independent non-executive chairman, two other independent non-executive directors, four non-executive directors and one executive/managing director. ORI3 is supported by Business Continuity Management - BCMS (ISO22301). ORI8 is supported by explicit operational-risk wording requiring reporting of operational losses and proposed remedial action, including Development of contingency plans. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
Agricultural Development Bank (ADB) PLC,2021,verified,verified,corrected,corrected_and_verified,2026-08-30,ORI8 corrected from 0 to 1; ORI score corrected from 87.5 to 100.0,"Financial values are verified from the 2021 statement pages in GHS thousands and normalized to absolute GHS: profit after tax 81,602,000; total assets 6,454,119,000; total liabilities 5,515,864,000; cash and cash equivalents 1,111,677,000. Board composition is verified at 9 directors and 4 independent directors: independent non-executive chairman, three other independent non-executive directors, four non-executive directors and one executive/managing director. ORI3 is supported by operational-risk wording that includes business continuity, and by Business Continuity Management System - BCMS (ISO 22301). ORI8 is supported by explicit operational-risk wording requiring reporting of operational losses and proposed remedial action, including Development of contingency plans. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
Agricultural Development Bank (ADB) PLC,2022,verified,verified,corrected,corrected_and_verified,2026-08-30,ORI8 corrected from 0 to 1; ORI score corrected from 87.5 to 100.0,"Financial values are verified from the 2022 statement pages in GHS thousands and normalized to absolute GHS: loss after tax -371,280,000; total assets 7,412,720,000; total liabilities 6,754,530,000; cash and cash equivalents 1,983,532,000. Board composition is verified at 9 directors and 4 independent directors: independent non-executive chairman, three other independent non-executive directors, four non-executive directors and one executive/managing director. ORI3 is supported by operational-risk wording that includes business continuity. ORI8 is supported by explicit operational-risk wording requiring reporting of operational losses and proposed remedial action, including Development of contingency plans. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
Agricultural Development Bank (ADB) PLC,2023,verified,verified,corrected,corrected_and_verified,2026-08-30,ORI8 corrected from 0 to 1; ORI score corrected from 75.0 to 87.5,"Financial values are verified from the 2023 statement pages in GHS thousands and normalized to absolute GHS: loss after tax -828,820,000; total assets 9,312,647,000; total liabilities 9,414,943,000; cash and cash equivalents 3,800,040,000. Board composition is verified at 9 directors and 4 independent directors: independent non-executive chairman, three other independent non-executive directors, four non-executive directors and one executive/managing director. ORI3 remains 0 because no explicit business-continuity, disaster-recovery or BCMS disclosure was found in the supplied evidence; the continuity hit relates only to management succession. ORI8 is supported by explicit operational-risk wording requiring reporting of operational losses and proposed remedial action, including Development of contingency plans. ORI vector [1,1,0,1,1,1,1,1]; score 87.5%."
Agricultural Development Bank (ADB) PLC,2024,verified,verified,corrected,corrected_and_verified,2026-08-30,ORI8 corrected from 0 to 1; ORI score corrected from 75.0 to 87.5,"Financial values are verified from the 2024 statement pages in GHS thousands and normalized to absolute GHS: profit after tax 35,061,000; total assets 14,604,777,000; total liabilities 13,326,732,000; cash and cash equivalents 7,176,917,000. Board composition is verified at 7 directors and 3 independent directors: non-executive chairman, three independent non-executive directors, two non-executive directors and one executive director. ORI3 remains 0 because no explicit business-continuity, disaster-recovery or BCMS disclosure was found; succession continuity is not treated as business continuity. ORI8 is supported by explicit operational-risk wording requiring reporting of operational losses and proposed remedial action, including Development of contingency plans. ORI vector [1,1,0,1,1,1,1,1]; score 87.5%."
Agricultural Development Bank (ADB) PLC,2025,verified,corrected,verified,corrected_and_verified,2026-08-30,Board total corrected from 7 to 8; independent directors corrected from 2 to 3; board independence corrected from 0.2857142857142857 to 0.375,"Financial values are visually verified from the 2025 statement pages in GHS thousands and normalized to absolute GHS: profit after tax 367,291,000; total assets 17,887,521,000; total liabilities 15,409,682,000; cash and cash equivalents 9,902,445,000. Board composition is visually verified from the explicit year-end sentence at 8 directors and 3 independent non-executive directors: three independent non-executive directors, four non-executive directors and one executive director. ORI3 is supported by Risk Committee wording that includes business continuity. ORI8 remains 0 because no explicit incident-response, crisis-management or contingency-plan disclosure was located in the supplied visual evidence. ORI vector [1,1,1,1,1,1,1,0]; score 87.5%."
CalBank PLC,2020,verified,verified,verified,verified_no_change,2026-08-30,No changes required,"Financial values are verified from the 2020 Bank columns in GHS thousands and normalized to absolute GHS: profit after tax 206,969,000; total assets 7,903,415,000; total liabilities 6,791,481,000; cash and cash equivalents 1,211,761,000. Board composition is verified at 11 directors and 8 independent directors using the year-end roster, with independence corroborated against explicit later classifications for the same directors. ORI3 is supported by back-up and systems recovery infrastructure, recovery time objective and business continuity wording. ORI8 is supported by operational-risk contingency-plan wording and cyber-attack incident response and recovery plan wording. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
CalBank PLC,2021,verified,verified,verified,verified_no_change,2026-08-30,No changes required,"Financial values are verified from the 2021 Bank columns in GHS thousands and normalized to absolute GHS: profit after tax 215,239,000; total assets 10,012,378,000; total liabilities 8,754,700,000; cash and cash equivalents 1,307,694,000. Board composition is verified at 11 directors and 8 independent directors from the board profile classifications. ORI3 is supported by explicit IT business continuity and disaster recovery capabilities and contingency plans. ORI8 is supported by cyber attack incident response and recovery plan wording and operational-risk contingency-plan wording. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
CalBank PLC,2022,verified,verified,verified,verified_no_change,2026-08-30,No changes required,"Financial values are verified from the 2022 Bank columns in GHS thousands and normalized to absolute GHS: loss after tax -815,200,000; total assets 9,219,254,000; total liabilities 8,722,745,000; cash and cash equivalents 2,008,870,000. Board composition is verified at 12 directors and 8 independent directors from the board roster and explicit profile classifications. ORI3 is supported by explicit business-continuity and disaster-recovery wording: the report says the Bank continued to review, update and simulate its business continuity plan and completed enhancement of its disaster recovery site. ORI8 is supported by operational-risk contingency-plan wording and cyber-attack incident response/recovery-plan wording. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
CalBank PLC,2023,verified,corrected,verified,corrected_and_verified,2026-08-30,Board total corrected from 12 to 10; board independence corrected from 0.6666666666666666 to 0.8,"Financial values are verified from the 2023 Bank columns in GHS thousands and normalized to absolute GHS: loss after tax -680,278,000; total assets 9,869,433,000; total liabilities 10,054,336,000; cash and cash equivalents 2,320,963,000. Board composition is corrected to the year-end basis: 10 directors and 8 independent directors after excluding Rosalind Nana Emela Kainyah, who retired in June 2023, and Carl Selasi Asem, who was appointed in February 2024. ORI3 is supported by explicit IT business-continuity and disaster-recovery capabilities and contingency-plan wording. ORI8 is supported by cyber-attack incident response/recovery-plan wording and operational-risk contingency-plan wording. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
CalBank PLC,2024,verified,verified,verified,verified_no_change,2026-08-30,No changes required,"Financial values are verified from the 2024 Bank columns in GHS thousands and normalized to absolute GHS: profit after tax 256,393,000; total assets 11,658,694,000; total liabilities 11,441,358,000; cash and cash equivalents 2,808,619,000. Board composition is verified at 6 directors and 4 independent directors on a year-end basis after excluding the July and September 2024 retirees. ORI3 is supported by explicit business continuity strategy wording and IT business-continuity/disaster-recovery capabilities and contingency-plan wording. ORI8 is supported by cyber-attack incident response/recovery-plan wording and operational-risk contingency-plan wording. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
CalBank PLC,2025,verified,verified,verified,verified_no_change,2026-08-30,No changes required,"Financial values are verified from the 2025 Bank columns in GHS thousands and normalized to absolute GHS: profit after tax 306,412,000; total assets 11,899,483,000; total liabilities 10,371,041,000; cash and cash equivalents 1,743,518,000. Board composition is verified at 7 directors and 3 independent directors on a year-end basis after excluding March 2025 retirees and including the March/June 2025 appointees. ORI3 is supported by explicit business continuity strategy wording and IT business-continuity/disaster-recovery capabilities and contingency-plan wording. ORI8 is supported by cyber-attack incident response/recovery-plan wording and operational-risk contingency-plan wording. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
Consolidated Bank Ghana (CBG) Limited,2020,verified,verified,verified,verified_no_change,2026-08-30,No changes required,"Financial values are verified from the 2020 statement pages in GHS thousands and normalized to absolute GHS: profit for the year 46,321,000; total assets 9,961,762,000; total liabilities 9,398,214,000; cash and cash equivalents 769,178,000. Board composition is verified at 7 directors: one executive director and six non-executive directors. ORI1 is supported by the Operational risk note; ORI2 by the Board Risk Committee; ORI4 by the Board Cyber and Information Security Committee; ORI5 by internal control disclosures; ORI6 by Internal Audit; ORI7 by AML/CFT disclosures. ORI3 remains 0 because no explicit business-continuity or disaster-recovery disclosure was located. ORI8 remains 0 because no explicit incident-response or crisis-response disclosure was located; the COVID Crisis Committee wording was treated as pandemic risk governance, not a disclosed incident/crisis response framework. ORI vector [1,1,0,1,1,1,1,0]; score 75.0%."
Consolidated Bank Ghana (CBG) Limited,2021,verified,verified,verified,verified_no_change,2026-08-30,No changes required,"Financial values are visually verified from the 2021 scanned statement pages in GHS thousands and normalized to absolute GHS: profit for the year 72,261,000; total assets 10,751,164,000; total liabilities 9,949,619,000; cash and cash equivalents 796,638,000. Board composition is visually verified at 8 directors: one executive director and seven non-executive directors. ORI1 is supported by the Operational risk note; ORI2 by the Board Risk Committee; ORI4 by the Board Technology, Cyber and Information Security Committee; ORI5 by internal control disclosures; ORI6 by Internal Audit; ORI7 by AML/CFT disclosures. ORI3 remains 0 because no explicit business-continuity or disaster-recovery disclosure was located. ORI8 remains 0 because no explicit incident-response or crisis-response disclosure was located; the COVID Crisis Committee wording was treated as pandemic risk governance, not a disclosed incident/crisis response framework. ORI vector [1,1,0,1,1,1,1,0]; score 75.0%."
Consolidated Bank Ghana (CBG) Limited,2022,verified,verified,verified,verified_no_change,2026-08-30,No dataset value changes required; supporting evidence value for board independence corrected from rounded/misstated 0.9 to 0.8888888888888888,"Financial values are verified from the 2022 statement pages in GHS thousands and normalized to absolute GHS: loss for the year -1,505,456,000; total assets 10,616,368,000; total liabilities 11,329,251,000; cash and cash equivalents 1,928,562,000. Board composition is verified at 9 directors: one executive director and eight non-executive directors; board independence is 8/9 = 0.8888888888888888. ORI1 is supported by the Operational risk note; ORI2 by the Board Risk Committee and board risk oversight; ORI4 by the Board Technology, Cyber and Information Security Committee; ORI5 by internal control/control environment disclosures; ORI6 by Internal Audit; ORI7 by AML/CFT disclosures. ORI3 remains 0 because no explicit business-continuity or disaster-recovery disclosure was located. ORI8 remains 0 because no explicit incident-response, crisis-response, disruption-response, or recovery-plan disclosure was located. ORI vector [1,1,0,1,1,1,1,0]; score 75.0%."
Consolidated Bank Ghana (CBG) Limited,2023,verified,verified,verified,verified_no_change,2026-08-30,No changes required,"Financial values are verified from the 2023 statement pages in GHS thousands and normalized to absolute GHS: loss for the year -542,962,000; total assets 13,691,904,000; total liabilities 12,447,749,000; cash and cash equivalents 1,229,760,000. Board composition is verified at 10 directors: one executive director and nine independent non-executive directors; board independence is 9/10 = 0.9. ORI1 is supported by the Operational risk note; ORI2 by the Board Risk Committee and board risk oversight; ORI4 by information/cyber security disclosures; ORI5 by internal control/control environment disclosures; ORI6 by Internal Audit; ORI7 by AML/CFT disclosures. ORI3 remains 0 because no explicit business-continuity or disaster-recovery disclosure was located. ORI8 remains 0 because no explicit incident-response, crisis-response, disruption-response, or recovery-plan disclosure was located; monitoring cyber security incidences was treated as monitoring evidence, not response-framework evidence. ORI vector [1,1,0,1,1,1,1,0]; score 75.0%."
Consolidated Bank Ghana (CBG) Limited,2024,verified,verified,verified,verified_no_change,2026-08-30,No changes required,"Financial values are verified from the 2024 statement pages in GHS thousands and normalized to absolute GHS: profit for the year 88,719,000; total assets 16,638,057,000; total liabilities 15,343,597,000; cash and cash equivalents 3,888,381,000. Board composition is verified at 7 directors: one executive director and six independent non-executive directors; board independence is 6/7 = 0.8571428571428571. ORI1 is supported by the Operational risk note; ORI2 by the Board Risk Committee and board risk oversight; ORI3 is supported by explicit testing of the Bank's Disaster Recovery Site; ORI4 by information/cyber security disclosures; ORI5 by internal control/control environment disclosures; ORI6 by Internal Audit; ORI7 by AML/CFT disclosures. ORI8 remains 0 because no explicit incident-response, crisis-response, disruption-response, or recovery-plan disclosure was located; monitoring cyber security incidences was treated as monitoring evidence, not response-framework evidence. ORI vector [1,1,1,1,1,1,1,0]; score 87.5%."
Consolidated Bank Ghana (CBG) Limited,2025,verified,verified,corrected,corrected_and_verified,2026-08-30,ORI3 corrected from 1 to 0; ORI score corrected from 87.5 to 75.0,"Financial values are verified from the 2025 statement pages in GHS thousands and normalized to absolute GHS: profit for the year 7,384,000; total assets 17,857,592,000; total liabilities 16,360,512,000; cash and cash equivalents 4,926,174,000. Board composition is verified at 9 directors: one executive director, three independent non-executive directors and five non-executive directors; board independence is 3/9 = 0.3333333333333333. ORI1 is supported by the Operational risk note; ORI2 by the Board Risk Committee and board risk oversight; ORI4 by cyber/information security disclosures; ORI5 by internal control/control environment disclosures; ORI6 by Internal Audit; ORI7 by risk, compliance and AML/CFT disclosures. ORI3 is corrected to 0 because no explicit business-continuity or disaster-recovery disclosure was located; the continuity hits relate to succession planning and leadership continuity only. ORI8 remains 0 because no explicit incident-response, crisis-response, disruption-response, or recovery-plan disclosure was located; monitoring cyber security incidences was treated as monitoring evidence, not response-framework evidence. ORI vector [1,1,0,1,1,1,1,0]; score 75.0%."
Ecobank Ghana PLC,2020,verified,corrected,verified,corrected_and_verified,2026-08-30,Board independent directors corrected from 5 to 6; board independence corrected from 0.625 to 0.75,"Financial values are verified from the 2020 Bank columns in GHS thousands and normalized to absolute GHS: profit after tax 543,817,000; total assets 15,882,414,000; total liabilities 13,459,027,000; cash and balances with banks 3,813,114,000. Board composition is verified at 8 directors: independent non-executive chairman, five non-executive directors and two executive directors; report also states the chairman and all non-executive directors are independent as pertains to management. ORI3 is supported by explicit business continuity and disaster recovery plan wording. ORI4 is supported by Bank of Ghana Cyber and Information Security Directive and ISO27001 surveillance audit wording. ORI8 remains 0 because no explicit incident-response or crisis-response framework was located. ORI vector [1,1,1,1,1,1,1,0]; score 87.5%."
Ecobank Ghana PLC,2021,verified,verified,verified,verified_no_change,2026-08-30,No changes required,"Financial values are verified from the 2021 Bank columns in GHS thousands and normalized to absolute GHS: profit after tax 579,442,000; total assets 17,856,679,000; total liabilities 15,200,263,000; cash and balances with banks 2,870,571,000. Board composition is verified at 8 directors: independent non-executive chairman, five non-executive directors, four of whom are independent, and two executive directors; board independence is 5/8 = 0.625. ORI3 is supported by explicit business continuity and disaster recovery plan wording. ORI4 remains 0 because no explicit cyber or information-security control disclosure was located in the supplied evidence. ORI8 remains 0 because no explicit incident-response or crisis-response framework was located. ORI vector [1,1,1,0,1,1,1,0]; score 75.0%."
Ecobank Ghana PLC,2022,verified,corrected,verified,corrected_and_verified,2026-08-30,Board independent directors corrected from 5 to 4; board independence corrected from 0.7142857142857143 to 0.5714285714285714; evidence page added as 60.,"Financial values are verified from the 2022 Bank columns in GHS thousands and normalized to absolute GHS: loss after tax -33,545,000; total assets 25,774,085,000; total liabilities 23,113,457,000; cash and balances with banks 6,443,617,000. Board composition corrected/verified at 7 directors: independent non-executive chairman, four non-executive directors, three of whom are independent, and two executive directors; board independence is 4/7 = 0.5714285714285714. ORI3 is supported by explicit business continuity and disaster recovery plan wording. ORI8 is supported by explicit cyber and information security committee wording covering backup and recovery from cyber incidents and attacks, disaster events, and receiving quarterly and immediate reports about significant cyber and information security incidents. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
Ecobank Ghana PLC,2023,verified,verified,verified,verified_no_change,2026-08-30,No dataset value changes required; supporting evidence value for board independence corrected from 0.75 to 0.625,"Financial values are verified from the 2023 Bank columns in GHS thousands and normalized to absolute GHS: profit after tax 619,479,000; total assets 33,520,636,000; total liabilities 29,916,955,000; cash and balances with banks 11,255,251,000. Board composition is verified at 8 directors: independent non-executive chairman, six non-executive directors, four of whom are independent, and one executive director; board independence is 5/8 = 0.625. ORI3 is supported by explicit business continuity and disaster recovery plan wording. ORI4 is supported by quarterly cyber security updates from the Chief Information Security Officer and cyber-security training. ORI8 remains 0 because no explicit incident-response, crisis-response, disruption-response, recovery-plan, or contingency-plan disclosure was located; cyber-security updates were treated as monitoring/oversight evidence, not incident-response framework evidence. ORI vector [1,1,1,1,1,1,1,0]; score 87.5%."
Ecobank Ghana PLC,2024,verified,verified,verified,verified_no_change,2026-08-30,No changes required,"Financial values are verified from the 2024 Bank columns in GHS thousands and normalized to absolute GHS: profit after tax 1,687,110,000; total assets 45,651,283,000; total liabilities 40,322,512,000; cash and cash equivalents 20,647,016,000. Board composition is verified at 6 directors: four independent non-executive directors, one non-executive director and one executive director; board independence is 4/6 = 0.6666666666666666. ORI1 is supported by operational risk management and lines-of-defence wording. ORI2 is supported by Board risk oversight and the Board Risk Committee. ORI4 is supported by cybersecurity disclosure. ORI5 is supported by internal control framework wording. ORI6 is supported by Internal Audit evidence. ORI7 is supported by compliance and anti-money laundering evidence. ORI3 remains 0 because no explicit business-continuity or disaster-recovery disclosure was located in the supplied extract. ORI8 remains 0 because no explicit incident-response, crisis-response, disruption-response, recovery-plan, or contingency-plan disclosure was located. ORI vector [1,1,0,1,1,1,1,0]; score 75.0%."
Ecobank Ghana PLC,2025,verified,verified,verified,verified_no_change,2026-08-30,No changes required,"Financial values are verified from the 2025 Bank columns in GHS thousands and normalized to absolute GHS: profit after tax 1,792,352,000; total assets 46,076,237,000; total liabilities 39,002,429,000; cash and cash equivalents 14,871,185,000. Board composition is verified at 7 directors: an independent non-executive interim chairman, three non-executive directors, two of whom are independent, and three executive directors; board independence is 3/7 = 0.4285714285714285. ORI3 is supported by explicit business continuity and disaster recovery work-plan wording. ORI8 is supported by explicit backup and recovery from cyber incidents and attacks, disaster events, and quarterly/immediate reporting of significant cyber and information-security incidents. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
Fidelity Bank Ghana Limited,2020,verified,verified,verified,verified_no_change,2026-08-30,No dataset value changes required; board evidence excerpt/page added to generated board evidence output,"Financial values are verified from the 2020 Bank columns in GHS thousands and normalized to absolute GHS: profit after tax 252,097,000; total assets 9,250,849,000; total liabilities 8,250,425,000; cash and cash equivalents 1,439,323,000. Board composition is verified at 9 directors: one executive director, three independent non-executive directors and the remaining non-executive directors; board independence is 3/9 = 0.3333333333333333. ORI3 is supported by explicit disaster recovery procedures and business continuity planning wording. ORI8 is supported by explicit business continuity and crisis management wording, plus liquidity crisis management/contingency action plan language. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
Fidelity Bank Ghana Limited,2021,verified,verified,verified,verified_no_change,2026-08-30,No changes required,"Financial values are verified from the 2021 Bank columns in GHS thousands and normalized to absolute GHS: profit after tax 341,520,000; total assets 13,349,840,000; total liabilities 12,107,900,000; cash and cash equivalents 2,767,433,000. Board composition is verified at 8 directors: one executive director, three independent non-executive directors and the remaining non-executive directors; board independence is 3/8 = 0.375. ORI3 is supported by explicit disaster recovery procedures and business continuity planning wording. ORI8 is supported by explicit liquidity crisis management and contingency action plan wording. ORI vector [1,1,1,1,1,1,1,1]; score 100.0%."
